Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,16.2,16.37,16.17,1743900,16.28,0.0,,,174389.99999999691,174389.99999999691,16.273333333333337,,,1743900.0,1743900.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,16.01,16.21,15.86,2011500,16.16,-2011500.0,,,1436785.7142857085,1611175.7142857055,16.16799302337967,,,1792554.5454545454,1769385.7142857143,,,,,,-0.009572649572646696,-0.0019145299145293393,-0.007658119658117357,False,False,,,,,
2012-09-10,15.96,16.11,15.88,1618800,15.95,-3630300.0,,,-633443.4782608848,977732.2360248207,16.111366342897547,,,1760962.8099173552,1755044.217687075,,,,,,-0.03371563542503253,-0.008274751016629979,-0.025440884408402552,False,False,,,,,
2012-09-07,15.85,16.11,15.77,1881800,15.94,-5512100.0,,,0.0,977732.2360248207,16.066923511576626,,,1782933.2081141996,1767116.1969549726,,,,,,-0.0530445772133703,-0.017228716255978042,-0.03581586095739226,False,False,,,,,
2012-09-06,15.55,15.86,15.41,2850700,15.78,-8362800.0,,,1837117.7777777754,2814850.0138025964,15.958727906570227,,,1977072.6248207088,1870314.6543878324,,,,,,-0.08034737118185831,-0.029852447241154097,-0.050494923940704206,False,False,,,,,
2012-09-05,15.67,15.67,15.33,3265400,15.48,-11628200.0,,,-384164.7058823449,2430685.3079202515,15.845080877349105,,,2211313.965762398,2003179.925398515,,,,,,-0.1247544334513968,-0.048832844483202645,-0.07592158896819416,False,False,,,,,
2012-09-04,15.75,15.88,15.56,2860400,15.7,-8767800.0,,,-357550.0000000238,2073135.3079202278,15.82186506494173,,,2329329.6083510527,2084819.9325034183,,,,,,-0.14057473085970607,-0.06718122175850333,-0.07339350910120274,False,False,,,,,
2012-08-31,15.67,15.86,15.63,2840100,15.63,-11607900.0,,,-2840100.0,-766964.6920797722,15.804710876685226,,,2422196.952287225,2156751.3675030926,,,,,,-0.15695160511567963,-0.0851352984299386,-0.07181630668574103,False,False,,,,,
2012-08-30,15.6,15.62,15.44,1453000,15.41,-13060900.0,,,-1937333.333333324,-2704298.025413096,15.782432604487402,,,2245979.324598639,2089727.4277408933,,,,,,-0.18554372477360026,-0.10521698369867093,-0.08032674107492933,False,False,,,,,
2012-08-29,15.75,15.8,15.58,1154000,15.58,-11906900.0,,,-1154000.0,-3858298.025413096,15.775560680701364,2167960.0,,2047437.629217068,2000610.5298608083,724860.7026334247,,,-1013960.0,0.5322976438679681,-0.19226924616059016,-0.12262743619105478,-0.06964180996953538,False,False,,,,,
