Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,11.44,11.6,11.4,11555700,11.54,0.0,,,4622279.999999918,4622279.999999918,11.513333333333334,,,11555700.0,11555700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,11.22,11.51,11.21,16470300,11.37,-16470300.0,,,1098019.999999883,5720299.999999801,11.425181438664097,,,12449263.636363635,12023757.142857144,,,,,,-0.013561253561254816,-0.0027122507122509633,-0.010849002849003853,False,False,,,,,
2012-09-10,11.68,11.69,11.23,17318500,11.25,-33788800.0,,,-15812543.478260899,-10092243.478261098,11.411744533515641,,,13334579.338842973,12528018.367346939,,,,,,-0.033604272692592474,-0.008890655108319266,-0.024713617584273206,False,False,,,,,
2012-09-07,11.53,11.7,11.43,13473400,11.64,-20315400.0,,,7485222.22222234,-2607021.256038758,11.452577463663273,,,13359819.459053341,12618054.713313896,,,,,,-0.017813427024066186,-0.01067520949146865,-0.007138217532597536,False,False,,,,,
2012-09-06,11.2,11.57,11.1,18738300,11.47,-39053700.0,,,10764555.319148974,8157534.0631102165,11.435042072716302,,,14337725.011952734,13200935.21680781,,,,,,-0.018799933386057788,-0.012300154270386478,-0.00649977911567131,False,False,,,,,
2012-09-05,10.89,11.14,10.79,13487100,11.1,-52540800.0,,,10404334.285714228,18561868.348824445,11.372076594323799,,,14183065.918870417,13228189.005683258,,,,,,-0.048874262491480636,-0.019614975914605308,-0.029259286576875328,False,False,,,,,
2012-09-04,10.93,10.96,10.68,8483900,10.86,-61024700.0,,,2423971.428571367,20985839.77739581,11.32615302818392,,,13146853.93362125,12776351.957522947,,,,,,-0.09102509854283447,-0.03389700044025114,-0.05712809810258333,False,False,,,,,
2012-08-31,10.93,10.98,10.81,11010100,10.92,-50014600.0,,,3238264.7058822853,24224104.483278096,11.284037949180956,,,12758353.218417386,12608137.485377904,,,,,,-0.11822560999568665,-0.050762722351338246,-0.06746288764434841,False,False,,,,,
2012-08-30,10.83,10.86,10.73,8712600,10.8,-58727200.0,,,670200.0000001099,24894304.483278207,11.248429776461029,,,12022761.724159678,12237133.915341914,,,,,,-0.14776190119099297,-0.07016255811926919,-0.07759934307172378,False,False,,,,,
2012-08-29,10.64,10.92,10.63,11832900,10.88,-46894300.0,,,8568651.724137992,33462956.2074162,11.20885253442862,13108280.0,,11988241.4106761,12198635.447214112,3498403.1991753033,,,-1275380.0,0.9027042449505198,-0.16283720738456786,-0.08869748797232893,-0.07413971941223893,False,False,,,,,
2012-08-28,10.69,10.83,10.57,14517200,10.66,-61411500.0,0.2562804503405245,,-4466830.7692307765,28996125.438185424,11.156787447344321,13404430.0,,12448052.063280445,12419451.118908005,3477657.691623934,,,1112770.0,1.0830150927715687,-0.19034250759452398,-0.10902649189676794,-0.08131601569775604,False,False,,,,,
2012-08-27,10.94,10.97,10.69,12055600,10.7,-49355900.0,-0.2680400478436944,,-11194485.714285737,17801639.723899685,11.128485071256588,12962960.0,,12376697.142684,12384798.631392956,3321943.0907561043,,,-907360.0,0.9300036411436894,-0.2065322156496805,-0.12852763664735045,-0.07800457900233004,False,False,,,,,
2012-08-24,10.86,11.0,10.78,14997400,10.85,-34358500.0,-0.13402430926465914,,-5453599.99999999,12348039.723899696,11.106611015543702,12730850.0,,12853188.571286907,12633617.80935553,3054090.517195294,,,2266550.0,1.1780360305871171,-0.20489700440344016,-0.1438015101985684,-0.06109549420487176,False,False,,,,,
2012-08-23,11.13,11.17,10.92,12380900,10.98,-21977600.0,-0.08108569477637417,,-6438067.999999951,5909971.723899745,11.101038779020133,12621600.0,,12767317.921962015,12609549.446559766,3044100.8316633226,,,-240700.0,0.9809295176522786,-0.19091047702358033,-0.15322330356357078,-0.03768717346000955,False,False,,,,,37.61061944572798
2012-08-22,11.24,11.31,11.07,11241000,11.12,-10736600.0,-0.40010566593554375,,-6557250.000000104,-647278.2761003589,11.10479740065252,11871870.0,,12489805.572514376,12479211.404030265,2167180.339135009,,,-630870.0,0.946860098703911,-0.16660866238667005,-0.15590037532819062,-0.010708287058479427,False,False,,,,,41.249999975937506
2012-08-21,11.22,11.27,11.15,15121800,11.21,4385200.0,0.12120470671975436,,2.2384760711702402e-07,-647278.2761001351,11.11232283821523,12035340.0,,12968350.013875397,12730886.508408336,2355982.6504737535,,,3086460.0,1.2564497554701404,-0.13849061772941518,-0.15241842380843554,0.01392780607902036,True,False,,,,,46.55172410983952
2012-08-20,11.38,11.4,11.23,15241900,11.24,19627100.0,0.7965676163085373,,-13448735.294117684,-14096013.570217818,11.124271983383826,12711140.0,,13381722.738625323,12970030.650464686,2187289.870644086,,,2530760.0,1.1990977992532534,-0.1124894076107168,-0.1444326205688918,0.03194321295817501,False,False,,,,,49.77578472211386
2012-08-17,11.44,11.46,11.3,19308000,11.34,38935100.0,0.753662546207573,,-9654000.000000214,-23750013.570218034,11.143301140708322,13540930.0,,14459227.695238901,13573646.77899186,2921142.149932302,,,5767070.0,1.4258991073729796,-0.08285895059338166,-0.13211788657378978,0.04925893598040812,False,False,,,,,42.268041206610675
2012-08-16,11.33,11.49,11.32,19146900,11.38,58082000.0,1.1976103574134012,,-5631441.176470471,-29381454.746688504,11.161600964691075,14584360.0,,15311531.75065001,14104432.800040254,2867912.7242260664,,,4562540.0,1.312837861928806,-0.05550906033087166,-0.11679612132520617,0.06128706099433451,False,False,,,,,47.51381211794512
2012-08-15,11.27,11.63,10.99,93870600,11.49,151952600.0,6.933017265420987,,52802212.49999987,23420757.75331137,11.216098176205737,22788130.0,17948205.0,29594998.705077283,21701210.628607847,25121357.026378527,18149075.82717368,4.183265072171074,71082470.0,4.119276131916045,-0.02467357297043371,-0.09837161165425169,0.07369803868381798,False,False,11.14,11.731981507534785,10.548018492465216,0.7956173423875355,62.58064510476588
2012-08-14,13.36,13.62,13.3,12107000,13.46,164059600.0,-0.16602375113658285,0.04770805749543516,6.720735079568417e-08,23420757.753311437,11.289310343309769,22547110.0,17975770.0,26415362.576881412,20787476.283026148,25220892.041297387,18139271.83782252,-0.32353944813611113,-10440110.0,0.5369646043328835,0.1569174621178906,-0.04731379689982324,0.20423125901771383,False,False,11.236,12.423893314366147,10.048106685633854,1.4361110013430436,89.63414630320494
2012-08-13,13.28,13.42,13.21,7077900,13.36,156981700.0,-0.41289525199907096,-0.5702628367425001,3033385.714285663,26454143.4675971,11.327506391219687,22049340.0,17506150.0,22899460.2901757,19481802.35130937,25498556.57013637,18301160.07978154,-0.5698136049594339,-14971440.0,0.3210028055261518,0.28942419944215736,0.020033802368572877,0.2693903970735845,False,False,11.3355,12.857140043194391,9.813859956805608,1.1652361736452301,86.74698791522714
2012-08-10,13.25,13.41,13.21,4775800,13.41,161757500.0,-0.6815581367437022,-0.7242370875075785,4775800.0,31229943.4675971,11.352647584242826,21027180.0,16879015.0,19604249.32832557,18081230.69880372,26012357.5337142,18521505.817897066,-0.6534681963226141,-16251380.0,0.2271250828689344,0.3939303417965849,0.0948131102541753,0.29911723154240966,False,False,11.4435,13.224159546643499,9.662840453356502,1.0521830390617921,90.1538461150106
2012-08-09,13.35,13.46,13.25,4788900,13.31,156968600.0,-0.6132025943186683,-0.6445663306960381,-2052385.7142857027,29177557.7533114,11.377194645602327,20267980.0,16444790.0,16910549.450448193,16815294.441774793,26400640.634642858,18706428.69747133,-0.6230954175435743,-15479080.0,0.23627909638750383,0.46334193091419706,0.16851887438617966,0.29482305652801744,False,False,11.527,13.493392368620366,9.560607631379632,0.9533683176493827,87.15596326543778
2012-08-08,13.2,13.49,13.17,6759200,13.33,163727800.0,-0.39870118316875724,-0.6392842467032762,0.0,29177557.7533114,11.410655504260665,19819800.0,15845835.0,15064849.550366703,15857571.161605766,26608136.91193813,18820557.826826524,-0.48280370239866405,-13060600.0,0.3410327046690683,0.5140394217509101,0.23762298385912578,0.27641643789178433,False,False,11.62,13.74461265819641,9.495387341803589,0.9024262948361667,93.4853419769122
2012-08-07,13.16,13.34,13.14,7745100,13.3,155982700.0,-0.48781891044716896,-0.4257401517005138,4647060.000000055,33824617.753311455,11.446266436774751,19082130.0,15558735.0,13733985.995754575,15084954.860500455,26853971.68043201,18902052.64526845,-0.413374946448258,-11337030.0,0.4058823621891267,0.5455085166030251,0.2992000904079057,0.24630842619511945,False,False,11.73,13.966133881690023,9.493866118309978,0.8510523258145499,92.48366008840615
2012-08-06,12.97,13.18,12.93,9849700,13.08,146133000.0,-0.3537747918566583,0.1609872817925717,1969940.000000028,35794557.753311485,11.484919366405084,18542910.0,15627025.0,13027752.178344652,14586359.15950041,26993425.064240698,18877598.545083594,-0.30604131061493645,-8693210.0,0.5311841561006336,0.5463973115258725,0.34863953463149905,0.1977577768943734,False,False,11.841000000000001,14.115368854036328,9.566631145963674,0.7723832587227756,85.62300315659033
2012-08-03,12.69,12.99,12.66,9950600,12.93,136182400.0,-0.48463849181686347,-0.09622982534218583,6332199.999999971,42126757.753311455,11.517341840389387,17607170.0,15574050.0,12468269.964100169,14144858.287167039,27125820.63324127,18892717.180897206,-0.29765173247212845,-7656570.0,0.5651447677281471,0.5289010988696887,0.384691847479137,0.14420925139055174,False,False,11.9415,14.222139568652892,9.660860431347107,0.7167155243614137,80.95238091640208
2012-08-02,12.6,12.63,12.4,13308900,12.52,122873500.0,-0.3049057549786127,0.5275463122374493,578647.8260868404,42705405.5793983,11.547893375373741,17023370.0,15803865.0,12621111.788809229,14065243.21219875,27151810.73839173,18832720.122178037,-0.13248033124337924,-3714470.0,0.7818017231605728,0.4764593242943924,0.40304534284218807,0.07341398145220435,False,False,12.0275,14.256022049771051,9.798977950228949,0.6104992432205455,70.46783622846344
2012-08-01,12.78,12.84,12.65,11752300,12.67,134625800.0,-0.8748031865142014,-0.006811517041469095,-9278131.578947414,33427274.000450883,11.578704335582374,8811540.0,15799835.0,12463146.009025732,13844962.906275058,3035591.4332026727,18833623.191551384,-0.21491005521527545,2940760.0,1.3337396187272599,0.44190853994856916,0.41081798226346433,0.031090557685104825,False,False,12.116999999999999,14.294677178724344,9.939322821275654,0.626970150902702,70.97701146569888
2012-07-31,12.7,12.84,12.62,11831200,12.74,146457000.0,-0.02278020979598583,-0.1850219050505607,1075563.6363637059,34502837.63681459,11.608471884254024,8783960.0,15665535.0,12348246.734657418,13653175.962820292,3003405.8719320106,18852817.83953836,-0.20338259419016855,3047240.0,1.346909594305985,0.4153868879403202,0.41173176339883555,0.0036551245414846445,False,False,12.221,14.302233439953078,10.139766560046922,0.624685676781097,71.3068181534575
2012-07-30,12.47,12.82,12.45,12301100,12.74,146457000.0,0.7379589991381625,0.02036398022495778,6981705.405405414,41484543.042220004,11.636183336948125,9306280.0,15677810.0,12339674.601083342,13524406.823504074,3125441.705956689,18850423.48816208,-0.1791317846052927,2994820.0,1.3218063501205637,0.38987406214536335,0.40736022314814113,-0.017486161002777778,False,True,12.323,14.287024868531581,10.35897513146842,0.6061595519184473,70.46783622846344
2012-07-27,12.5,12.61,12.32,22833500,12.47,123623500.0,3.7810837974789564,0.5224972328536945,787362.0689656427,42271905.11118565,11.674566135264653,11112050.0,16069615.0,14247642.855431825,14410987.126027495,4918986.477415863,18916856.26272241,0.35755861894076574,11721450.0,2.054841365904581,0.34390391017329947,0.3946689605531728,-0.05076505037987333,False,False,12.404,14.241806472830834,10.566193527169165,0.5179561887978169,64.93150682440982
2012-07-26,12.35,12.55,12.33,11349200,12.42,112274300.0,1.369897053603124,-0.08332996793447978,-2063490.9090909506,40208414.2020947,11.691605103208154,11768080.0,16018030.0,13720653.245353311,14119388.352120114,4391128.838363916,18928847.44399405,-0.24665157315118927,-418880.0,0.9644054085288339,0.2999796724724142,0.37573110293702106,-0.07575143046460686,False,False,12.475999999999999,14.187390939373111,10.764609060626887,0.4836390392423977,62.95264621500452
2012-07-25,12.31,12.34,12.1,10218900,12.15,102055400.0,0.5118505148538288,-0.0909260741926875,-5961024.999999943,34247389.202094756,11.701614877218733,12114050.0,15966925.0,13083970.837107254,13747913.270965818,4077747.7400725503,18943797.352219902,-0.3034251735873022,-1895150.0,0.8435576871483939,0.24060906262160664,0.34870669487393824,-0.1080976322523316,False,False,12.5275,14.125299473618231,10.929700526381769,0.3818687807096508,15.343915332549514
2012-07-24,12.48,12.52,12.25,14768800,12.31,116824200.0,0.9068572387703193,-0.023343781824915033,-8204888.888888824,26042500.31320593,11.719947992849935,12816420.0,15949275.0,13390303.412178662,13845140.578492884,3839545.3575767293,18944790.620056037,-0.06231132471584467,1952380.0,1.1523342711927356,0.2041151766972238,0.31978839123859537,-0.11567321454137158,False,False,12.5825,14.060590873924504,11.104409126075495,0.40782028195719805,23.07692306035507
2012-07-23,12.29,12.56,12.16,13965800,12.47,130790000.0,0.4178909002304638,-0.0837231578740183,7681190.000000016,33723690.31320595,11.737309896732727,13228030.0,15885470.0,13494939.155418904,13856631.951969752,3704417.721241028,18949446.753820937,-0.10130480456443515,737770.0,1.0557732330513312,0.1859605347143365,0.2930228199337436,-0.10706228521940708,False,False,12.644,13.982678059642563,11.305321940357437,0.4350105132646834,27.184466000942606
2012-07-20,12.74,12.76,12.43,11265500,12.47,130790000.0,0.13214278535967683,-0.4165371866583799,-8534469.696969634,25189220.616236314,11.753855412680457,13359520.0,15483345.0,13089586.581706375,13609857.480353585,3596935.057579518,18958327.477487512,-0.2224798049832494,-2094020.0,0.8432563445393247,0.1696176039902575,0.26834177674504633,-0.09872417275478884,False,False,12.7005,13.895075018022794,11.505924981977206,0.4035221746133984,28.571428551020418
