Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,43.21,43.36,42.94,3088100,43.18,0.0,,,441157.14285715774,441157.14285715774,43.16,,,3088100.0,3088100.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,42.79,43.36,42.55,3047000,43.1,-3047000.0,,,1090901.2345679216,1532058.3774250792,43.082191433989124,,,3080627.2727272725,3084185.7142857146,,,,,,-0.006381766381764464,-0.0012763532763528929,-0.0051054131054115715,False,False,,,,,
2012-09-10,42.63,43.31,42.55,5019400,42.9,-8066400.0,,,-396268.421052644,1135789.9563724352,43.00920710625009,,,3433131.4049586775,3268491.836734694,,,,,,-0.027263415069676,-0.0064737656350175145,-0.020789649434658487,False,False,,,,,
2012-09-07,42.96,43.03,42.76,4434100,43.0,-3632300.0,,,3448744.4444444184,4584534.400816854,42.98667703749321,,,3615125.6949661905,3379502.137998056,,,,,,-0.035335778969674436,-0.0122461683019489,-0.023089610667725538,False,False,,,,,
2012-09-06,42.3,42.99,42.26,3817600,42.86,-7449900.0,,,2457906.849315049,7042441.250131903,42.9309374838969,,,3651939.2049723375,3421225.743903003,,,,,,-0.052425684828996566,-0.020282071607358433,-0.03214361322163813,False,False,,,,,
2012-09-05,41.74,42.11,41.64,3269600,41.95,-10719500.0,,,1043489.3617021696,8085930.6118340725,42.78228768114025,,,3582422.9858864574,3406785.196864622,,,,,,-0.13781036110248834,-0.04378772950638442,-0.09402263159610393,False,False,,,,,
2012-09-04,41.6,41.95,41.47,3118900,41.72,-13838400.0,,,129954.16666663974,8215884.7785007125,42.653037807508255,,,3498146.0793616464,3379367.5590679916,,,,,,-0.22148427714466123,-0.07932703903403979,-0.14215723811062145,False,False,,,,,
2012-08-31,41.4,41.86,41.33,2984800,41.6,-16823200.0,,,56316.98113210416,8272201.759632817,42.54347869142966,,,3404810.42856862,3341789.696299611,,,,,,-0.29408937629855814,-0.12227950648694347,-0.17180986981161467,False,False,,,,,
2012-08-30,41.01,41.36,40.84,2203900,41.18,-19027100.0,,,678123.0769230677,8950324.836555883,42.44269853104136,,,3186463.0779197793,3233419.249032981,,,,,,-0.381126540863022,-0.1740489133621592,-0.2070776275008628,False,False,,,,,
2012-08-29,41.09,41.41,41.09,3259100,41.23,-15768000.0,,,-407387.50000007235,8542937.33655581,42.328546494366165,3424250.0,,3199669.7910252735,3235865.0348393642,802851.8159245412,,,-165150.0,0.9517704606848215,-0.4409861251700775,-0.22743635572374285,-0.21354976944633466,False,False,,,,,
2012-08-28,41.04,41.31,40.92,2413100,41.1,-18181100.0,-0.2185810045011496,,-185623.0769230837,8357314.259632727,42.24832752248861,3356750.0,,3056657.101747951,3157506.4600927583,860555.6567319358,,,-943650.0,0.7188798689208311,-0.49322954734602575,-0.28059499404819943,-0.21263455329782632,False,False,,,,,
