Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,32.84,33.02,32.47,2458400,32.49,0.0,,,-2279607.2727272464,-2279607.2727272464,32.660000000000004,,,2458400.0,2458400.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,32.88,32.94,32.69,2259100,32.8,2259100.0,,,-271092.00000001024,-2550699.2727272566,32.73183147853736,,,2422163.6363636362,2439419.0476190476,,,,,,0.024729344729344405,0.0049458689458688814,0.019783475783475522,False,False,,,,,
2012-09-10,33.25,33.44,32.68,2761300,32.76,-502200.0,,,-2179973.684210537,-4730672.956937794,32.816075172487565,,,2483824.7933884296,2470074.3764172336,,,,,,0.04063148838077524,0.012082992832850154,0.028548495547925084,False,False,,,,,
2012-09-07,34.05,34.2,33.55,1735500,33.65,1233300.0,,,-1201499.999999997,-5932172.956937791,33.00139598233181,,,2347765.7400450786,2400114.9119965443,,,,,,0.12362454692955538,0.0343913036521912,0.08923324327736418,False,False,,,,,
2012-09-06,33.41,34.2,33.41,2241500,34.06,3474800.0,,,1447044.3037974713,-4485128.6531403195,33.17526475671712,,,2328444.6964005185,2385008.729901635,,,,,,0.2199453244600278,0.07150210781375853,0.14844321664626925,False,False,,,,,
2012-09-05,33.27,33.51,33.14,2765100,33.16,709700.0,,,-2466170.2702703276,-6951298.923410647,33.193684998839736,,,2407836.569782242,2421207.898482432,,,,,,0.22110894988178842,0.10142347622736451,0.1196854736544239,False,False,,,,,
2012-09-04,33.04,33.34,32.78,2726200,33.22,3435900.0,,,1557828.571428532,-5393470.351982115,33.18075920560647,,,2465720.8298218343,2450254.765293629,,,,,,0.224287186894486,0.12599621836078884,0.09829096853369718,False,False,,,,,
2012-08-31,33.0,33.23,32.71,2307200,32.94,1128700.0,,,-266215.38461539673,-5659685.736597512,33.15430612036446,,,2436898.860763319,2436630.501932331,,,,,,0.2018850969540722,0.14117399407944553,0.060711102874626666,False,False,,,,,
2012-08-30,32.67,32.91,32.57,1878900,32.82,-750200.0,,,884188.2352941476,-4775497.5013033645,33.11984206524963,,,2335444.5224427152,2383513.311272109,,,,,,0.17246026754828847,0.14743124877321412,0.025029018775074352,False,False,,,,,
2012-08-29,32.29,33.02,32.29,2718100,32.85,1967900.0,,,1452135.6164383504,-3323361.884865014,33.074275965391124,2385130.0,,2405018.245634949,2415378.7101985747,371082.72527834005,,,332970.0,1.1396024535350275,0.1498344294947742,0.14791188491752616,0.0019225445772480532,False,False,,,,,
2012-08-28,32.4,32.64,32.21,2242500,32.44,-274600.0,-0.08782134721770252,,156453.48837206198,-3166908.396492952,33.01890691786299,2363540.0,,2375469.4737013215,2398914.071132044,372623.5878500209,,,-121040.0,0.9487886813847026,0.0976935657264093,0.1378682210793028,-0.040174655352893496,False,True,,,,,
2012-08-27,32.66,32.77,32.36,1808700,32.45,1534100.0,-0.19937143110088085,,-1014636.5853658307,-4181544.9818587825,32.98699884717618,2318500.0,,2272420.4784828993,2342703.207214706,411810.1963013759,,,-509800.0,0.78011645460427,0.05652686544377161,0.12159994995219656,-0.06507308450842494,False,False,,,,,
2012-08-24,32.13,32.81,32.03,2021500,32.72,3555600.0,-0.26791728533661685,,1554999.999999983,-2626544.9818587992,32.955450986944705,2244520.0,,2226798.5733041903,2312112.4255752107,389257.91164442344,,,-223020.0,0.9006379983248088,0.04516803342239939,0.10631356664623713,-0.06114553322383774,False,False,,,,,
