Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,54.08,54.69,54.07,1487200,54.42,0.0,,,191896.77419356213,191896.77419356213,54.39333333333333,,,1487200.0,1487200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,53.66,54.26,53.49,2582400,54.0,-2582400.0,,,838441.5584415627,1030338.3326351248,54.09086036301684,,,1686327.2727272727,1591504.761904762,,,,,,-0.03350427350427765,-0.00670085470085553,-0.02680341880342212,False,False,,,,,
2012-09-10,54.18,54.18,53.46,1499300,53.55,-4081700.0,,,-1124475.000000015,-94136.6673648901,53.99370689603572,,,1652322.3140495867,1582723.3560090703,,,,,,-0.09526968125260282,-0.02441462001120499,-0.07085506124139783,False,False,,,,,
2012-09-07,54.37,54.37,53.71,3201300,54.15,-880400.0,,,1067100.0,972963.3326351099,54.02398888660843,,,1933954.6205860255,1736873.512579635,,,,,,-0.09471244024341985,-0.038474184057647964,-0.056238256185771884,False,False,,,,,
2012-09-06,52.85,54.19,52.85,2961500,54.19,2081100.0,,,2961500.0,3934463.33263511,53.953141403206686,,,2120781.0532067483,1853504.6066196696,,,,,,-0.09000562816791557,-0.04878047287970149,-0.041225155288214084,False,False,,,,,
2012-09-05,53.78,53.78,52.83,2108300,53.12,-27200.0,,,-821127.3684210603,3113335.9642140493,53.84501363198457,,,2118511.7708055214,1877770.8345606534,,,,,,-0.170648375081214,-0.07315405332000399,-0.09749432176121,False,False,,,,,
2012-09-04,54.25,55.49,53.65,2431300,53.82,2404100.0,,,-1982038.0434782573,1131297.920735792,53.9159873314773,,,2175382.3579317904,1930487.8979358291,,,,,,-0.1760448477331522,-0.09373221220263364,-0.08231263553051857,False,False,,,,,
2012-08-31,53.37,53.7,52.93,964400,53.26,1439700.0,,,-137771.4285714362,993526.4921643558,53.881334091449716,,,1955203.7473987376,1838479.5267038452,,,,,,-0.22293900895352436,-0.11957357155281179,-0.10336543740071258,False,False,,,,,
2012-08-30,53.19,53.34,52.77,1160700,53.11,279000.0,,,223994.73684208954,1217521.2290064453,53.83035419973472,,,1810748.520598967,1773929.0955891933,,,,,,-0.26910464513525767,-0.14947978626930097,-0.1196248588659567,False,False,,,,,
2012-08-29,53.72,53.87,53.48,1182100,53.58,1461100.0,,,-575894.8717948641,641626.3572115812,53.819062355815475,1957850.0,,1696448.7895809729,1717564.419818794,805970.2672348818,,,-775750.0,0.6037745486119979,-0.26471470601683933,-0.17252677021880866,-0.09218793579803067,False,False,,,,,
2012-08-28,53.59,54.08,53.59,1573500,53.72,3034600.0,0.058028509951586926,,-738581.6326530817,-96955.27544150047,53.81739633761976,1966480.0,,1674094.464202614,1703843.9988836707,800816.3457095238,,,-392980.0,0.8001606932183394,-0.24709051205207544,-0.187439518585462,-0.05965099346661343,False,False,,,,,
2012-08-27,53.76,54.22,53.51,856500,53.69,2178100.0,-0.6683317843866171,,-422218.30985915614,-519173.5853006566,53.816978773352716,1793890.0,,1525440.9252566842,1623144.5704185592,838423.5504140428,,,-937390.0,0.4774540244942555,-0.2328596989793752,-0.19652355466424465,-0.03633614431513055,False,False,,,,,
2012-08-24,53.17,53.86,53.11,882800,53.74,3060900.0,-0.411191889548456,,600304.000000006,81130.41469934944,53.80745406915873,1732240.0,,1408597.1206645595,1552635.56371203,883923.1329074316,,,-849440.0,0.5096291506950538,-0.2150679257859025,-0.20023242888857623,-0.014835496897326272,False,False,,,,,
2012-08-23,53.8,53.9,53.02,1654400,53.23,1406500.0,-0.483209945959454,,-864800.0000000194,-783669.58530067,53.77886798909789,1577550.0,,1453288.553271003,1562327.4147870748,718061.647384432,,,76850.0,1.0487147792462996,-0.23936134649430585,-0.20805821240972217,-0.031303134084583684,False,False,,,,,38.53564546166668
2012-08-22,54.45,54.48,53.65,2154800,53.82,3561300.0,-0.2723957453992909,,-1272110.8433734833,-2055780.4286741533,53.79536887573891,1496880.0,,1580836.0890399115,1618753.3752835437,576708.6917249566,,,657920.0,1.4395275506386618,-0.20860136161918774,-0.20816684225161527,-0.0004345193675724668,False,False,,,,,44.80968857046133
2012-08-21,54.57,55.07,54.2,1662400,54.3,5223700.0,-0.21149741497889296,,-1280239.0804597908,-3336019.5091339443,53.83803616696459,1452290.0,,1595665.8910326548,1622910.196685111,540269.0696927473,,,210110.0,1.1446749616123502,-0.14383383658461213,-0.19530024111821467,0.051466404533602544,True,False,,,,,52.56849313808286
2012-08-20,54.36,54.55,54.16,1122700,54.5,6346400.0,-0.538230576234936,,834828.2051282219,-2501191.3040057225,53.85956054254732,1321430.0,,1509672.0926630811,1575271.130334148,422419.1705719174,,,-198730.0,0.8496098923136299,-0.07549650116910556,-0.17133949312839286,0.0958429919592873,False,False,,,,,58.497316622201026
2012-08-17,54.48,54.55,54.09,1799100,54.36,4547300.0,0.8655122355868934,,312886.95652173675,-2188304.3474839856,53.886805957331646,1404900.0,,1562295.3485425208,1596588.1655404195,426480.08941410924,,,394200.0,1.2805893657911596,-0.032263585944193096,-0.1435243116915529,0.11126072574735982,False,False,,,,,52.04678361152719
