Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,54.22,54.22,53.26,575800,53.37,0.0,,,-443845.8333333341,-443845.8333333341,53.61666666666667,,,575800.0,575800.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,54.24,54.5,54.21,284000,54.25,284000.0,,,-205655.17241379456,-649501.0057471287,53.84898425990541,,,522745.45454545453,548009.5238095238,,,,,,0.07019943019943042,0.014039886039886085,0.05615954415954434,False,False,,,,,
2012-09-10,54.39,54.51,54.04,295000,54.26,579000.0,,,-18829.787234043313,-668330.7929811721,53.956535042142946,,,481337.1900826446,523913.3786848073,,,,,,0.1251967110656551,0.03627125104503989,0.08892546002061522,False,False,,,,,
2012-09-07,54.6,54.73,54.18,191800,54.29,770800.0,,,-115080.0,-783410.7929811721,54.01969899499976,,,428694.06461307284,492283.533095778,,,,,,0.16925216802847132,0.06286743444172618,0.10638473358674513,False,False,,,,,
2012-09-06,54.2,54.74,54.06,362200,54.74,1133000.0,,,362200.0,-421210.7929811721,54.12433052434457,,,416604.23468342324,479894.6251818944,,,,,,0.23773718795058585,0.09784138514349813,0.13989580280708772,False,False,,,,,
2012-09-05,54.48,54.54,53.91,273200,53.96,859800.0,,,-229834.92063491713,-651045.7136160892,54.12603094517322,,,390530.7374682554,460209.42278361873,,,,,,0.22646206466505703,0.12356552104780992,0.10289654361724711,False,False,,,,,
2012-09-04,53.99,54.5,53.88,535300,54.34,1395100.0,,,259016.12903226283,-392029.58458382636,54.15026629060236,,,416852.4215649362,467360.906328036,,,,,,0.2453609046588454,0.14792459777001704,0.09743630688882837,False,False,,,,,
2012-08-31,54.43,54.57,53.93,529600,53.99,865500.0,,,-430299.99999999633,-822329.5845838226,54.15253755182863,,,437351.9812804023,473288.4390586992,,,,,,0.22945132454390205,0.16422994312479405,0.065221381419108,False,False,,,,,
2012-08-30,54.34,54.52,54.07,261200,54.19,1126700.0,,,-121893.33333333718,-944222.9179171599,54.16102254063259,,,405324.34832032915,453089.5401007278,,,,,,0.2303261398436618,0.1774491824685676,0.05287695737509418,False,False,,,,,
2012-08-29,54.65,54.82,54.46,389800,54.6,1516500.0,,,-86622.2222222205,-1030845.1401393804,54.21010663710033,369790.0,,402501.7395348148,447061.9648530395,133992.64034515727,,,20010.0,1.0541117931799129,0.2610932898381364,0.1941780039424814,0.06691528589565501,False,False,,,,,
