Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,36.42,36.5,36.02,1301800,36.3,0.0,,,216966.6666666442,216966.6666666442,36.27333333333333,,,1301800.0,1301800.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,36.02,36.41,35.9,1530000,36.33,1530000.0,,,1050000.0000000084,1266966.6666666525,36.2409157897215,,,1343290.909090909,1323533.3333333333,,,,,,0.002393162393161674,0.0004786324786323348,0.0019145299145293393,False,False,,,,,
2012-09-10,36.12,36.27,35.66,1342100,35.96,187900.0,,,-22001.63934425768,1244965.0273223948,36.1516603176885,,,1343074.3801652892,1325301.5873015872,,,,,,-0.025274794847440774,-0.004672052986582287,-0.020602741860858486,False,True,,,,,
2012-09-07,35.57,36.18,35.48,1204800,36.16,1392700.0,,,1135954.2857142752,2380919.31303667,36.104249539851644,,,1317933.5837716002,1313825.245653817,,,,,,-0.030709521519170835,-0.009879546693099997,-0.020829974826070838,False,False,,,,,
2012-09-06,34.77,35.69,34.76,1833700,35.59,-441000.0,,,1439355.913978517,3820275.227015187,35.91163962989666,,,1411709.2958131274,1363337.12702012,,,,,,-0.0800876176691645,-0.0239211608883129,-0.0561664567808516,False,False,,,,,
2012-09-05,34.98,35.0,34.37,1758200,34.46,-2199200.0,,,-1255857.142857126,2564418.084158061,35.656523718220264,,,1474707.605665286,1400943.1149229656,,,,,,-0.20800393097563585,-0.06073771490577749,-0.14726621606985835,False,False,,,,,
2012-09-04,35.25,35.32,34.6,1368200,35.0,-831000.0,,,152022.22222221922,2716440.3063802803,35.56611273390852,,,1455342.586453416,1397824.7230255404,,,,,,-0.2627759265180245,-0.1011453572282269,-0.1616305692897976,False,False,,,,,
2012-08-31,35.07,35.25,34.65,1223500,35.17,392500.0,,,897233.333333341,3613673.639713621,35.50867687801447,,,1413189.388916431,1381222.3684516794,,,,,,-0.289132607623678,-0.13874280730731714,-0.15038980031636084,False,False,,,,,
2012-08-30,34.59,34.98,34.48,1593600,34.8,-1201100.0,,,446208.0000000018,4059881.639713623,35.41718063125037,,,1445991.3182043526,1401448.8095515196,,,,,,-0.33600314002698184,-0.1781948738512501,-0.15780826617573174,False,False,,,,,
2012-08-29,34.99,35.05,34.6,1233400,34.84,32300.0,,,82226.66666669003,4142108.306380313,35.36684958035948,1438930.0,,1407338.3512581065,1385444.1610228035,227705.01897557432,,,-205530.0,0.8571646987692244,-0.3657050883198636,-0.21569691674497282,-0.15000817157489077,False,False,,,,,
