Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,59.17,59.63,59.05,1700300,59.33,0.0,,,-58631.034482767245,-58631.034482767245,59.336666666666666,,,1700300.0,1700300.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,58.99,59.35,58.88,1587800,59.08,-1587800.0,,,-236480.85106385534,-295111.88554662257,59.22399166692011,,,1679845.4545454546,1689585.7142857143,,,,,,-0.01994301994301395,-0.00398860398860279,-0.01595441595441116,False,False,,,,,
2012-09-10,58.96,59.37,58.85,1785200,59.05,-3373000.0,,,-411969.2307692495,-707081.1163158721,59.17684248910965,,,1699000.8264462808,1698691.836734694,,,,,,-0.037733784628365186,-0.010737640116555269,-0.026996144511809917,False,False,,,,,
2012-09-07,58.37,58.95,58.27,1480900,58.93,-4853900.0,,,1393788.235294104,686707.118978232,59.0728672708594,,,1659346.1307287752,1677949.7570456753,,,,,,-0.06081505286186939,-0.020753122665618094,-0.040061930196251296,False,False,,,,,
2012-09-06,57.4,58.33,57.4,1832600,58.23,-6686500.0,,,1438492.4731182738,2125199.5920965057,58.83552153383889,,,1690846.8342326342,1692678.3516127537,,,,,,-0.13404607437971805,-0.04341171300843809,-0.09063436137127996,False,False,,,,,
2012-09-05,57.38,57.38,56.79,1247600,57.04,-7934100.0,,,-190311.86440678578,1934887.72768972,58.60689653740762,,,1610256.5007357914,1650289.9371734438,,,,,,-0.28482199067569525,-0.09169376854188951,-0.19312822213380573,False,False,,,,,
2012-09-04,57.27,57.66,56.64,1627900,57.31,-6306200.0,,,510713.7254902099,2445601.45317993,58.404019634828884,,,1613464.40969292,1648157.5622045444,,,,,,-0.3781669736349329,-0.1489884095604982,-0.2291785640744347,False,False,,,,,
2012-08-31,57.25,57.75,56.91,1479800,57.35,-4826400.0,,,70466.6666666774,2516068.119846607,58.2800629147995,,,1589161.7897487527,1632123.5086612543,,,,,,-0.4438000289604318,-0.20795073344048493,-0.23584929551994688,False,False,,,,,
2012-08-30,56.76,57.16,56.41,1438100,56.98,-6264500.0,,,747812.0000000012,3263880.1198466085,58.13503156984152,,,1561696.009794434,1613645.0792649444,,,,,,-0.5196800577315628,-0.2702965982987005,-0.24938345943286228,False,False,,,,,
2012-08-29,56.34,57.24,56.33,1538400,57.17,-4726100.0,,,1301723.076923077,4565603.1967696855,58.0154623609397,1571860.0,,1557460.3716499913,1606478.8812397115,174577.37030389195,,,-33460.0,0.9787131169442571,-0.5580512477063024,-0.3278475281802209,-0.23020371952608154,False,False,,,,,
2012-08-28,56.44,56.62,55.97,1582300,56.28,-6308400.0,-0.0693995177321649,,-73029.2307692164,4492573.966000469,57.857655594024976,1560060.0,,1561976.6677136293,1604176.1306454532,168824.39397196128,,,22240.0,1.0142558619540274,-0.6527517384533965,-0.392828370234856,-0.2599233682185405,False,False,,,,,
2012-08-27,56.6,57.04,56.29,1496800,56.64,-4811600.0,-0.05731200403073433,,-99786.666666661,4392787.299333808,57.762024733522374,1550960.0,,1550126.3644929694,1593949.8324887436,169613.71275800656,,,-54160.0,0.9650796925775004,-0.6907905646688945,-0.4524208091216637,-0.23836975554723083,False,False,,,,,
2012-08-24,56.2,56.73,55.94,1275000,56.59,-6086600.0,-0.28579430876092315,,823101.2658228055,5215888.5651566135,57.67678051947837,1499940.0,,1500103.3891306112,1563573.657966006,168052.3873346906,,,-224940.0,0.8500340013600544,-0.7167094106819576,-0.5052785294337225,-0.21143088124823506,False,False,,,,,
2012-08-23,56.57,56.68,56.0,1228100,56.31,-7314700.0,-0.1707070024984807,,-108361.76470587366,5107526.800450739,57.59913173840107,1474660.0,,1450648.2274705002,1531623.7857787674,188949.7652228702,,,-246560.0,0.832802137441851,-0.7511847525932538,-0.5544597740656287,-0.19672497852762505,False,False,,,,,18.1434599102531
2012-08-22,56.25,56.82,56.14,1377400,56.56,-5937300.0,-0.24839026519698792,,324094.1176470664,5431620.918097806,57.53277896834847,1429140.0,,1437330.367930409,1516935.8061807896,142179.80947456014,,,-51740.0,0.9637964090292064,-0.7496918181637184,-0.5935061828852467,-0.15618563527847173,False,False,,,,,22.244488971715057
2012-08-21,56.77,57.22,56.32,1225700,56.38,-7163000.0,-0.017553703109971175,,-1062273.3333333267,4369347.58476448,57.48700069863078,1426950.0,,1398852.119215789,1489199.0627350002,145418.54726577655,,,-201250.0,0.8589649251900907,-0.7543376180475505,-0.6256724699177074,-0.1286651481298431,False,False,,,,,22.560975603336402
2012-08-20,56.46,56.86,56.17,1450800,56.56,-5712200.0,-0.10879046624485533,,189234.78260870345,4558582.367373183,57.432240965185954,1409240.0,,1408297.1884492817,1485542.0091411907,127962.8696145878,,,41560.0,1.0294910732025773,-0.7350220753007122,-0.6475423909943083,-0.08747968430640385,False,False,,,,,25.443786975222707
2012-08-17,56.41,56.91,56.32,1835600,56.61,-3876600.0,0.2404378970131098,,-31111.864406773668,4527470.50296641,57.37695702756744,1444820.0,,1485988.6087312305,1518880.865413458,186045.16655909125,,,390780.0,1.2704696778837503,-0.7075238913788269,-0.659538691071212,-0.047985200307614884,False,False,,,,,26.79999999249604
2012-08-16,56.99,57.37,56.18,3460800,56.55,-7337400.0,1.4065085877199084,,-1308705.882352952,3218764.6206134576,57.30052215635546,1647090.0,,1845045.2253255523,1703825.5448978906,663870.2943095637,,,1813710.0,2.1011602280385406,-0.6827031046436858,-0.6641715737857068,-0.018531530857978984,False,False,,,,,30.733944944259775
2012-08-15,56.78,57.74,56.5,2804600,57.56,-4532800.0,0.8230629225169006,,1990361.2903225832,5209125.910936041,57.297684041882256,1773710.0,1672785.0,2019509.7298118153,1808661.2072885677,755292.6988922904,543488.5359513357,2.0825002279373623,1030890.0,1.581205495825135,-0.5749067263794743,-0.6463186043044603,0.07141187792498604,True,False,57.3255,59.38043475373435,55.27056524626565,0.5570577726552769,56.22009567495022
2012-08-14,57.14,57.24,56.49,1495900,56.71,-6028700.0,-0.05460405738481955,-0.1202140798682585,-618305.3333333379,4590820.577602703,57.27695422622522,1765070.0,1662565.0,1924307.9607551214,1778874.4256420375,758214.1049861839,544863.973633014,-0.305883684855727,-269170.0,0.8475017987955152,-0.5517054986638783,-0.627395983176344,0.07569048451246574,False,False,57.194500000000005,59.034162154338475,55.354837845661535,0.3683182129780163,43.69747897874444
2012-08-13,56.85,57.05,56.58,1016600,56.99,-5012100.0,-0.32081774452164613,-0.3597430406852249,757042.5531915097,5347863.130794213,57.26554634371473,1717050.0,1634005.0,1759270.1497087358,1706276.8612951767,791565.0464603511,563636.0224144282,-1.0953966308882166,-700450.0,0.5920619667452899,-0.5049044741155981,-0.602897681364195,0.09799320724859684,False,False,57.089999999999996,58.702059813439085,55.47794018656091,0.4689837811332015,46.39999998700801
2012-08-10,56.85,57.09,56.61,1037600,57.07,-3974500.0,-0.18619607843137254,-0.41877660766300695,951133.3333333205,6298996.464127533,57.25595108514522,1693310.0,1596625.0,1628057.3952162382,1642593.350695636,809649.1166617248,577695.9434047601,-0.9676803280031372,-655710.0,0.6127643491150468,-0.4561013412174759,-0.5735384133348512,0.11743707211737531,False,False,56.991,58.313420428409096,55.668579571590904,0.5298694720313114,50.955413997592906
2012-08-09,57.2,57.48,56.53,1574200,56.95,-5548700.0,0.28181744157641875,0.06300222837463698,-182275.7894736723,6116720.674653861,57.24496333160533,1727920.0,1601290.0,1618265.1415405585,1636079.6982484325,794814.6923095415,577088.6467524086,-0.04694252807164055,-153720.0,0.9110375480346312,-0.4222401819244439,-0.5432787670527698,0.12103858512832588,False,False,56.891999999999996,57.84926804253728,55.93473195746271,0.5302945452175939,47.62931033045669
