Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,73.83,73.93,72.92,3917800,73.64,0.0,,,1667974.2574257057,1667974.2574257057,73.49666666666667,,,3917800.0,3917800.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,72.93,73.77,72.59,3914900,73.54,-3914900.0,,,2388752.5423729396,4056726.799798645,73.39836974053222,,,3917272.727272727,3917523.8095238092,,,,,,-0.007977207977219791,-0.0015954415954439584,-0.006381766381775833,False,False,,,,,
2012-09-10,72.24,73.31,72.24,4762600,73.05,-8677500.0,,,2448065.4205607185,6504792.220359364,73.19731942338281,,,4070968.5950413216,3998007.2562358277,,,,,,-0.053224567982411486,-0.011921266872837465,-0.04130330110957402,False,False,,,,,
2012-09-07,72.01,72.61,71.88,4799000,72.6,-13476500.0,,,4667520.547945139,11172312.768304503,72.96722685017507,,,4203337.941397445,4074292.279451463,,,,,,-0.12396566692684985,-0.034330146883639945,-0.0896355200432099,False,False,,,,,
2012-09-06,72.14,73.06,71.62,8389000,71.94,-21865500.0,,,-4660555.55555563,6511757.212748873,72.71976669653097,,,4964367.4065979095,4485216.8242656095,,,,,,-0.23062646334282988,-0.07358941017547793,-0.15703705316735195,False,False,,,,,
2012-09-05,72.5,72.77,71.79,10182200,71.94,-21865500.0,,,-7065200.000000144,-553442.7872512713,72.56317843488901,,,5913064.241761926,5027786.650526027,,,,,,-0.31156439257651414,-0.12118440665568518,-0.19037998592082894,False,False,,,,,
2012-09-04,73.57,73.92,73.3,4513400,73.7,-17352100.0,,,1310341.9354839108,756899.1482326395,72.6832441098943,,,5658579.834168848,4978797.445714025,,,,,,-0.23102784832852308,-0.14315309499025275,-0.08787475333827033,False,False,,,,,
2012-08-31,74.07,74.35,73.57,2717800,73.81,-14634300.0,,,-1045307.6923076314,-288408.54407499183,72.7604277178581,,,5123892.591592694,4763464.355646023,,,,,,-0.15652169145813843,-0.1458268142838299,-0.010694877174308531,False,False,,,,,
2012-08-30,73.97,74.16,73.74,2587000,73.82,-12047300.0,,,-1601476.1904762154,-1889884.7345512072,72.82519575016146,,,4662639.393121295,4556182.036060687,,,,,,-0.09556647805304408,-0.13577474703767273,0.04020826898462865,True,False,,,,,
2012-08-29,74.64,74.72,74.23,2829800,74.3,-9217500.0,,,-2021285.7142857846,-3911170.4488369916,72.91783553951063,4861350.0,,4329395.867099241,4391764.6992930025,2507127.4324967563,,,-2031550.0,0.5821016795746038,-0.008429869509996024,-0.11030577153213739,0.10187590202214136,False,False,,,,,
