Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,128.88,132.44,128.81,3972600,131.49,0.0,,,1893277.6859504355,1893277.6859504355,130.91333333333333,,,3972600.0,3972600.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,128.42,129.88,128.42,2908400,128.68,-2908400.0,,,-1872531.5068492438,20746.179101191694,130.10180477643755,,,3779109.090909091,3871247.619047619,,,,,,-0.22415954415953365,-0.044831908831906735,-0.1793276353276269,False,False,,,,,
2012-09-07,129.51,129.96,128.67,2697300,129.71,-211100.0,,,1651834.883720947,1672581.0628221387,129.91731441557133,,,3582416.5289256196,3759443.0839002263,,,,,,-0.31506335175851063,-0.09887819741722753,-0.2161851543412831,False,False,,,,,
2012-09-06,128.18,129.5,127.8,3924600,129.5,-4135700.0,,,3924600.0,5597181.062822139,129.6313216173316,,,3644631.7054845975,3775172.3140049665,,,,,,-0.3994459548430598,-0.15899174890239398,-0.2404542059406658,False,False,,,,,
2012-09-05,128.86,129.0,126.95,3174700,127.61,-7310400.0,,,-1130502.926829276,4466678.135992863,129.292868878016,,,3559189.5772146704,3717984.4745759224,,,,,,-0.6117748210221805,-0.24954836332635127,-0.36222645769582923,False,False,,,,,
2012-09-04,128.36,129.15,127.62,2550200,128.52,-4760200.0,,,450035.2941176638,4916713.430110527,129.17842582094676,,,3375736.9268120024,3606766.9055686914,,,,,,-0.6985649603816739,-0.3393516827374158,-0.35921327764425814,False,False,,,,,
2012-08-31,127.51,128.37,126.26,3446000,128.25,-8206200.0,,,3054037.914691928,7970751.344802455,128.94258700938235,,,3388512.031028002,3591455.7717050067,,,,,,-0.7801405401034174,-0.42750945421061615,-0.35263108589280123,False,False,,,,,
2012-08-30,127.1,127.1,126.18,2143400,126.7,-10349600.0,,,279573.91304349265,8250325.2578459475,128.74544563179302,,,3162128.0253865467,3453545.698209292,,,,,,-0.9588092644996209,-0.5337694162684171,-0.4250398482312038,False,False,,,,,
2012-08-29,127.55,128.05,126.72,2145900,128.02,-8203700.0,,,2049092.4812030047,10299417.739048952,128.65401828177522,,,2977359.2934980835,3329008.0126655498,,,,,,-0.9825661367245573,-0.6235287603596452,-0.35903737636491206,False,False,,,,,
2012-08-28,127.86,128.24,127.22,1965700,127.4,-10169400.0,,,-1271923.5294117453,9027494.209637206,128.58375716702156,2892880.0,,2793421.240134795,3199169.15431645,726551.2000005384,,,-927180.0,0.6794958657116783,-1.0394404253711969,-0.7067110933619556,-0.33272933200924126,False,False,,,,,
2012-08-27,127.29,128.14,127.04,2205100,127.66,-7964300.0,-0.44492272063635907,,280649.0909090971,9308143.300546303,128.51502560445903,2716130.0,,2686453.741928469,3104495.9015244073,645129.6373598101,,,-511030.0,0.8118536299808919,-1.0514138375544917,-0.7756516422004629,-0.2757621953540288,False,False,,,,,
2012-08-24,126.59,127.02,125.81,2662700,126.66,-10627000.0,-0.08447943886673082,,1078283.4710743744,10386426.771620678,128.35600711314157,2691560.0,,2682134.8797596563,3062420.1013792255,641662.8055295086,,,-28860.0,0.9892775936631545,-1.128584871743044,-0.8462382881089792,-0.28234658363406484,False,False,,,,,
2012-08-23,127.93,128.5,126.75,1750000,127.15,-8877000.0,-0.3512030549067586,,-949999.9999999887,9436426.771620689,128.3122238601348,2596830.0,,2512655.810712446,2937427.71077168,707290.9947272213,,,-846830.0,0.6738985609377587,-1.137096823067509,-0.9044099951006851,-0.23268682796682383,False,False,,,,,
2012-08-22,126.87,128.5,126.52,2216500,128.1,-6660500.0,-0.43522906793048977,,1320944.4444444336,10757371.216065122,128.27668076332012,2426020.0,,2458809.299673819,2868767.9287934243,536683.450669221,,,-209520.0,0.9136363261638404,-1.0550238866628092,-0.9345327734131099,-0.1204911132496993,False,False,,,,,37.265214120798525
2012-08-21,128.71,129.25,127.0,1901300,127.52,-8561800.0,-0.40110876618263147,,-1022476.8888888956,9734894.327176226,128.259743170198,2298680.0,,2357443.972460397,2776628.126051193,488184.47287429735,,,-397380.0,0.8271268728139628,-1.024966470543319,-0.9526195128391518,-0.07234695770416721,False,False,,,,,35.709143264939314
2012-08-20,128.61,128.72,128.0,2168600,128.16,-6393200.0,-0.14963532271978663,,-1204777.7777777968,8530116.54939843,128.26148446601172,2260520.0,,2323108.7047403245,2718720.6854748894,481203.7401720352,,,-91920.0,0.9593367897651868,-0.9386825522668687,-0.9498321207246951,0.011149568457826442,True,False,,,,,47.78156996016258
2012-08-17,129.99,130.04,128.29,2395600,128.69,-3997600.0,-0.3048171793383633,,-1300468.571428556,7229647.977969874,128.30184655027142,2155480.0,,2336288.9402420837,2687947.286858233,255291.36208566782,,,240120.0,1.1113997810232523,-0.8181047524518021,-0.9234866470701165,0.10538189461831438,False,False,,,,,45.45454544887372
2012-08-16,128.7,129.95,128.7,2280300,129.68,-1717300.0,0.06387048614351021,,1295210.4000000665,8524858.37796994,128.35781287739195,2169170.0,,2326109.132925341,2649123.7357288776,258225.36690091295,,,111130.0,1.0512315770548182,-0.6353374762154829,-0.8658568128991898,0.23051933668370694,False,False,,,,,50.74999999407919
2012-08-15,129.18,130.3,128.59,1933900,129.06,-3651200.0,-0.09879304720630033,,-870820.4678362648,7654037.910133675,128.39609157604437,2147970.0,,2254798.3814843697,2581007.1894689845,268832.69084444817,,,-214070.0,0.9003384591032463,-0.5343621176118916,-0.7995578738417303,0.2651957562298387,False,False,,,,,56.7567567493514
2012-08-14,129.12,130.18,128.54,2183100,129.67,-1468100.0,0.11059673398789238,,825318.2926828875,8479356.202816563,128.44211338465098,2169710.0,2531295.0,2241762.3121235752,2543111.2666624147,261135.2627364685,648053.3071600305,-0.5372937629558561,13390.0,1.006171331652617,-0.40049980397535023,-0.7197462598684543,0.3192464558931041,False,False,128.4115,130.79901379163832,126.02398620836168,0.7635586869503284,55.512943424955
