Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,44.29,44.91,44.0,14794000,44.89,0.0,,,14143714.285714412,14143714.285714412,44.60000000000001,,,14794000.0,14794000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,44.18,44.5,44.0,8053500,44.24,-8053500.0,,,-322139.9999999359,13821574.285714475,44.475453769559046,,,13568454.545454543,14152047.61904762,,,,,,-0.05185185185185759,-0.010370370370371518,-0.041481481481486074,False,False,,,,,
2012-09-10,43.79,44.32,43.74,11247700,44.06,-19301200.0,,,1163555.1724138407,14985129.458128316,44.33180148525307,,,13146499.173553716,13875443.083900228,,,,,,-0.10624459217051907,-0.02954521473040103,-0.07669937744011804,False,False,,,,,
2012-09-07,44.1,44.15,43.5,12683000,43.72,-31984200.0,,,-4097584.615384641,10887544.842743676,44.18490254007209,,,13062226.59654395,13761877.07590973,,,,,,-0.1747717295464426,-0.05859051769360935,-0.11618121185283325,False,False,,,,,
2012-09-06,44.08,44.33,43.65,15279600,44.15,-16704600.0,,,7190400.000000009,18077944.842743687,44.15004598938409,,,13465385.39717232,13906422.116299279,,,,,,-0.19216738726779425,-0.08530589160844634,-0.10686149565934791,False,False,,,,,
2012-09-05,43.63,44.23,43.62,14183800,43.8,-30888400.0,,,-5813032.786885251,12264912.055858437,44.10042742194987,,,13596006.23405008,13932839.05760411,,,,,,-0.23152675001509238,-0.11455006328977554,-0.11697668672531683,False,False,,,,,
2012-09-04,42.91,43.79,42.77,19553900,43.7,-50442300.0,,,16103211.76470601,28368123.82056445,43.96153770619009,,,14679259.646040974,14468178.194975147,,,,,,-0.26770258407618996,-0.14518056744705843,-0.12252201662913154,False,False,,,,,
2012-08-31,42.99,43.12,42.65,8898400,42.94,-59340700.0,,,2082604.2553191434,30450728.075883593,43.87159621206838,,,13628194.255851705,13937723.128787037,,,,,,-0.35362151293800537,-0.18686875654524782,-0.16675275639275755,False,False,,,,,
2012-08-30,42.95,42.98,42.5,8101200,42.77,-67441900.0,,,1012650.0000001648,31463378.075883757,43.791040627355855,,,12623286.209333213,13381863.78318827,,,,,,-0.4304682918133551,-0.2355886635988693,-0.19487962821448582,False,False,,,,,
2012-08-29,42.72,43.34,42.7,9272100,43.09,-58169800.0,,,2028271.8750000065,33491649.950883765,43.734245543984514,12206720.0,,12013979.625818083,12990457.708598912,3783510.673905329,,,-2934620.0,0.7595897997168772,-0.46024319501411526,-0.2805195698819185,-0.17972362513219675,False,False,,,,,
2012-08-28,42.69,42.82,42.5,8094100,42.67,-66263900.0,-0.45287954576179534,,505881.25000007864,33997531.20088384,43.66765070723786,11536730.0,,11301274.239305703,12524137.926827587,3866743.341782878,,,-3442630.0,0.7015939525324767,-0.5118304474362105,-0.32678174539277693,-0.1850487020434336,False,False,,,,,
2012-08-27,43.1,43.24,42.55,10625600,42.76,-55638300.0,0.319376668529211,,-4157843.4782608887,29839687.722622953,43.60594021176686,11793940.0,,11178424.377613757,12343324.790939245,3690845.031877298,,,-1168340.0,0.9009372610001407,-0.539235497653678,-0.36927249584495714,-0.16996300180872081,False,False,,,,,
2012-08-24,42.21,43.24,42.19,12797700,43.17,-42840600.0,0.1378059514389609,,11091340.0,40931027.72262295,43.54433897669427,11948940.0,,11472838.127138527,12386598.620373603,3697896.3906523935,,,848760.0,1.0710322421905207,-0.5218550042610559,-0.3997889975281769,-0.12206600673287898,False,False,,,,,
2012-08-23,42.54,42.56,42.18,15987200,42.25,-58827800.0,0.2605219585271623,,-10097178.947368436,30833848.775254518,43.42985130782358,12279360.0,,12293631.194931522,12729513.037480878,3912187.0187062034,,,3707840.0,1.3019571052563,-0.5756810563977623,-0.43496740930209404,-0.1407136470956683,False,False,,,,,24.31906614123605
2012-08-22,42.78,43.16,42.58,13558200,42.62,-45269600.0,-0.11266001727793917,,-11688103.448275896,19145745.326978624,43.38223253426527,12107220.0,,12523552.795853063,12808435.60533984,3801820.255789762,,,1450980.0,1.1198441921432005,-0.5817763273721255,-0.46432919291610036,-0.11744713445602512,False,False,,,,,29.401088921749235
2012-08-21,43.71,43.75,42.83,20204000,42.89,-25065600.0,0.42444196900689524,,-17568695.652173817,1577049.6748048067,43.359819495673776,12709240.0,,13919997.742061596,13512775.07149795,4566860.292537484,,,7494760.0,1.5897095341656937,-0.5583834333791415,-0.4831400410087086,-0.07524339237043293,False,False,,,,,36.84210525310351
2012-08-20,43.93,44.06,43.64,9231000,43.7,-15834600.0,-0.5279202614312235,,-6593571.42857134,-5016521.753766533,43.378935089658846,11676950.0,,13067452.698050397,13104986.969450526,3976297.453173129,,,-2445950.0,0.7905317741362257,-0.4690769388447009,-0.48032742057590705,0.01125048173120613,True,False,,,,,46.87499998860678
2012-08-17,44.19,44.23,43.97,9489000,44.06,-6345600.0,0.06637148251371028,,-2919692.3076920086,-7936214.061458541,43.409178476106405,11736010.0,,12416824.934768505,12760607.258074285,3934609.640231163,,,-2247010.0,0.8085371433732589,-0.3650439082112271,-0.4572707181029711,0.09222680989174398,False,False,,,,,52.941176457765145
2012-08-16,44.11,44.2,43.78,8713800,44.12,2368200.0,0.07561842689971865,,5394257.142856932,-2541956.918601609,43.4327465848066,11797270.0,,11743547.673901504,12375197.043019593,3876062.7053321344,,,-3083470.0,0.7386285132068691,-0.27459017870395996,-0.42073461022316894,0.14614443151920897,False,False,,,,,49.72273566180926
2012-08-15,44.15,44.32,43.96,7008300,44.19,9376500.0,-0.24415181026951827,,1946749.9999998924,-595206.9186017164,43.45408367087076,11570890.0,11888805.0,10882593.551373957,11864063.991303442,4099593.8816342936,3853337.624159497,-1.2665656311558093,-4562590.0,0.6056837460212654,-0.19500859372016066,-0.3755894069225673,0.18058081320240665,False,False,43.4895,44.916686780089826,42.06231321991017,0.7454128673879354,53.80116957596071
