Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,34.24,34.33,33.97,2346600,33.99,0.0,,,-2085866.6666666253,-2085866.6666666253,34.09666666666666,,,2346600.0,2346600.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,34.32,34.36,34.09,2215600,34.15,2215600.0,,,-1230888.8888889537,-3316755.5555555793,34.14684976546403,,,2322781.818181818,2334123.8095238097,,,,,,0.012763532763528929,0.0025527065527057857,0.010210826210823143,False,False,,,,,
2012-09-10,34.34,34.45,34.09,1822200,34.27,4037800.0,,,0.0,-3316755.5555555793,34.18199862164025,,,2231766.94214876,2285369.1609977325,,,,,,0.03219064780318348,0.008480294802801325,0.023710353000382156,False,False,,,,,
2012-09-07,34.49,34.55,34.33,2237500,34.5,6275300.0,,,1220454.545454598,-2096301.0101009812,34.254143750217466,,,2232809.3163035307,2280810.1932836627,,,,,,0.06539205533791659,0.01986264690982438,0.04552940842809221,False,False,,,,,
2012-09-06,34.25,34.45,34.11,2818500,34.44,3456800.0,,,2652705.882352858,556404.8722518766,34.27365319394427,,,2339298.5315210707,2332018.746304266,,,,,,0.0858730207245273,0.03306472167276496,0.052808299051762334,False,False,,,,,
2012-09-05,34.36,34.36,33.87,3046700,34.0,410100.0,,,-1430083.6734693625,-873678.8012174859,34.23222607239084,,,2467916.9803354214,2400083.627608622,,,,,,0.06584103610463643,0.03961998455913925,0.026221051545497177,False,False,,,,,
2012-09-04,34.73,34.88,34.45,11117200,34.4,11527300.0,,,-13702595.348837432,-14576274.150054917,34.3817796620099,,,4040513.893001708,3230285.1868839916,,,,,,0.08130496797105025,0.04795698124152145,0.033347986729528795,False,False,,,,,
2012-08-31,34.61,34.8,34.46,9377900,34.23,2149400.0,,,-22065647.058823887,-36641921.2088788,34.41257814926829,,,5010947.730637761,3815772.3119426593,,,,,,0.07893277820290479,0.05415214063379812,0.024780637569106666,False,False,,,,,
2012-08-30,34.45,34.65,34.35,2360300,34.18,-210900.0,,,-5035306.666666719,-41677227.87554552,34.41136174599987,,,4529011.779612713,3677155.9012814537,,,,,,0.07218610213722343,0.057758932934483184,0.014427169202740245,False,False,,,,,
2012-08-29,34.19,34.76,34.19,3672900,34.3,3462000.0,,,-2255289.4736842187,-43932517.34922974,34.41183679788567,4101540.0,,4373355.0924104005,3676750.5773498868,3305561.108596643,,,-428640.0,0.8954929124182625,0.07565026075087644,0.061337198497761834,0.014313062253114607,False,False,,,,,
2012-08-28,34.05,34.38,34.01,2342200,33.88,1119800.0,-0.0018750532685587462,,-3988070.2702701925,-47920587.61949993,34.39445100743583,4101100.0,,4004054.1665176,3549650.5223641833,3305820.9449393963,,,-1758900.0,0.5711150666894248,0.043997960396886526,0.057869350877586774,-0.013871390480700248,False,True,,,,,
2012-08-27,34.29,34.4,34.03,2395900,33.74,-1276100.0,0.08137750496479512,,-6151635.13513515,-54072222.75463508,34.3767627977459,4119130.0,,3711662.499878036,3439769.520234261,3294868.317399043,,,-1723230.0,0.5816519507760134,0.007529657152062441,0.04780141213248191,-0.04027175498041947,False,False,,,,,
2012-08-24,34.22,34.54,34.16,2307800,33.93,1031700.0,0.2664910547689605,,-5101452.631578891,-59173675.38621397,34.36875520775898,4167690.0,,3456414.7726274836,3331962.8992595696,3260655.4090482416,,,-1859890.0,0.5537360024378013,-0.005971488206725439,0.03704683206464045,-0.04301832027136589,False,False,,,,,
2012-08-23,34.37,34.48,34.25,2939500,33.99,3971200.0,0.31374301675977656,,-9585326.086956562,-68759001.47317053,34.361334227436956,4237890.0,,3362430.2685133955,3294585.480282468,3221807.638043519,,,-1298390.0,0.6936234777212245,-0.011694932710547334,0.027298479109602893,-0.03899341182015023,False,False,,,,,49.99999997265625
2012-08-22,34.39,34.6,34.31,2507100,34.05,6478300.0,-0.11048430015965938,,-7002589.655172515,-75761591.12834305,34.359397521985855,4206750.0,,3206915.6742382324,3219586.863112709,3238512.5043074265,,,-1699650.0,0.5959707612765199,-0.011259512504587121,0.01958688078676489,-0.03084639329135201,False,False,,,,,51.145038140609444
2012-08-21,34.5,34.8,34.44,4085600,34.13,10563900.0,0.34099189286769294,,-11121911.111111011,-86883502.23945406,34.36629765511733,4310640.0,,3366676.460740372,3302064.304721022,3213732.671659062,,,-225040.0,0.9477942950466752,-0.004408291402995701,0.014787846348812772,-0.01919613775180847,False,False,,,,,49.606299185256454
2012-08-20,34.93,34.99,33.88,7905200,34.25,18469100.0,-0.2889216709243335,,-2635066.6666667005,-89518568.90612076,34.36714680851172,3989440.0,,4191862.558787577,3740458.180461877,2549784.464180802,,,3915760.0,1.9815312424801477,0.010582360929049628,0.013946749264860144,-0.003364388335810516,False,False,,,,,49.606299185256304
2012-08-17,35.65,35.66,35.43,2009200,35.3,20478300.0,-0.7857516075027458,,-4280469.565217466,-93799038.47133823,34.39977199705516,3252570.0,,3795014.820826199,3575576.4489893173,1762847.5273135668,,,-1243370.0,0.6177269051857455,0.10596726106465582,0.03235085162481928,0.07361640943983654,True,False,,,,,61.904761878968266
2012-08-16,35.28,35.7,35.15,1997500,35.32,22475800.0,-0.1537092742447994,,-762681.8181818153,-94561720.28952004,34.4282299360913,3216290.0,,3468193.9443123443,3425283.4538474777,1786821.361742068,,,-1218790.0,0.6210571807890458,0.1810868579108984,0.06209805288203511,0.11898880502886329,False,False,,,,,63.253012021519915
2012-08-15,35.12,35.41,35.06,2020400,34.97,20455400.0,-0.4499169593509216,,-3059462.8571429136,-97621183.14666295,34.448523726170606,3051040.0,3576290.0,3204958.6817101,3291485.0296715274,1816075.1264440822,2651132.024527199,-0.5868776000612328,-1030640.0,0.6622004300173056,0.2099573470877445,0.091669911723177,0.1182874353645675,False,False,34.301,35.17212510431534,33.42987489568466,0.8839861787279091,65.01547984798094
