Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,33.88,33.99,33.67,2489700,33.97,0.0,,,2178487.4999999516,2178487.4999999516,33.876666666666665,,,2489700.0,2489700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,33.75,33.93,33.69,2867900,33.74,-2867900.0,,,-1672941.6666665748,505545.8333333768,33.828490057737305,,,2558463.6363636362,2525719.0476190476,,,,,,-0.01834757834757994,-0.003669515669515988,-0.014678062678063953,False,False,,,,,
2012-09-10,33.92,33.92,33.49,3664400,33.62,-6532300.0,,,-1448716.2790698435,-943170.4457364667,33.766825057267425,,,2759542.975206611,2634164.85260771,,,,,,-0.04208602202903933,-0.011352816941420657,-0.03073320508761867,False,False,,,,,
2012-09-07,33.31,33.9,33.16,4945300,33.89,-1587000.0,,,4811643.243243271,3868472.7975068036,33.72546166164303,,,3156953.3433508635,2854272.961883166,,,,,,-0.03866644346575043,-0.016815542246286612,-0.02185090121946382,False,False,,,,,
2012-09-06,32.41,33.18,32.39,4987700,33.18,-6574700.0,,,4987700.0,8856172.797506804,33.512640411500925,,,3489816.3718325244,3057456.4893228645,,,,,,-0.09218481987952032,-0.031889397772933356,-0.06029542210658696,False,False,,,,,
2012-09-05,32.41,32.49,32.02,3995200,32.13,-10569900.0,,,-2125106.3829787285,6731066.414528076,33.28645538310487,,,3581704.304226611,3146765.395101639,,,,,,-0.21682531627345014,-0.06887658147303671,-0.14794873480041343,False,False,,,,,
2012-09-04,32.27,32.62,32.14,3824800,32.37,-6745100.0,,,-159366.66666669262,6571699.747861383,33.15649236227824,,,3625903.5216399543,3211340.119377673,,,,,,-0.2928618839180004,-0.11367364196202945,-0.17918824195597094,False,False,,,,,
2012-08-31,32.26,32.35,32.09,4562700,32.27,-11307800.0,,,1754884.6153846537,8326584.363246037,33.022567769810806,,,3796230.1540690535,3340041.0603893236,,,,,,-0.3570744439367459,-0.16235380235697275,-0.19472064157977317,False,False,,,,,
2012-08-30,32.21,32.24,31.91,4411100,32.04,-15718900.0,,,-935687.8787879249,7390896.484458112,32.90420634165809,,,3908024.671511044,3442046.6736855786,,,,,,-0.4216617836216656,-0.21421539860991134,-0.20744638501175428,False,False,,,,,
2012-08-29,32.59,32.61,32.27,4255900,32.44,-11463000.0,,,-8.894114203298364e-08,7390896.484458024,32.85482175011103,4000470.0,,3971274.7312363083,3519556.514286952,825042.9228564751,,,255430.0,1.063849997625279,-0.4355503057836785,-0.2584823800446648,-0.1770679257390137,False,False,,,,,
