Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,18.36,18.5,18.33,4696600,18.49,0.0,,,4144058.823529331,4144058.823529331,18.439999999999998,,,4696600.0,4696600.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,18.21,18.38,18.14,3108300,18.33,-3108300.0,,,1813174.9999999732,5957233.823529304,18.37760752860382,,,4407818.181818182,4545333.333333334,,,,,,-0.012763532763532481,-0.0025527065527064965,-0.010210826210825984,False,False,,,,,
2012-09-10,18.15,18.32,18.08,4638400,18.24,-7746700.0,,,1546133.3333332876,7503367.156862591,18.316372211015832,,,4449742.14876033,4554196.825396826,,,,,,-0.029797485410018254,-0.00800166232416885,-0.021795823085849403,False,False,,,,,
2012-09-07,18.1,18.19,17.97,4830200,18.15,-12576900.0,,,3073763.636363537,10577130.793226128,18.25680001157843,,,4518916.303531179,4580482.842025699,,,,,,-0.049983089501598243,-0.01639794775965473,-0.03358514174194351,False,False,,,,,
2012-09-06,17.77,18.1,17.75,4728200,18.08,-17305100.0,,,4187834.2857142035,14764965.078940332,18.196598914326316,,,4556967.884707328,4594551.142785156,,,,,,-0.07081245920865342,-0.02728085004945447,-0.04353160915919895,False,False,,,,,
2012-09-05,17.65,17.74,17.58,4537200,17.68,-21842300.0,,,1134300.0000000757,15899265.078940408,18.105999507640984,,,4553373.72385145,4589089.12918657,,,,,,-0.11823361827591228,-0.04547140369474603,-0.07276221458116625,False,False,,,,,
2012-09-04,17.61,17.73,17.5,3640700,17.66,-25483000.0,,,1424621.7391304297,17323886.818070836,18.04857756011787,,,4387433.04678755,4498766.354978325,,,,,,-0.155634997963638,-0.06750412254852443,-0.08813087541511357,False,False,,,,,
2012-08-31,17.48,17.67,17.34,4540500,17.61,-30023500.0,,,2889409.0909090373,20213295.908979874,17.98206863843518,,,4415263.401917086,4502740.987837533,,,,,,-0.1871530589957473,-0.09143390983796901,-0.0957191491577783,False,False,,,,,
2012-08-30,17.4,17.49,17.32,3096300,17.41,-33119800.0,,,182135.2941176775,20395431.203097552,17.934956350507537,,,4175451.874295797,4368794.227091101,,,,,,-0.22566831411781862,-0.11828079069393893,-0.1073875234238797,False,False,,,,,
2012-08-29,17.35,17.57,17.29,3260100,17.53,-29859700.0,,,2328642.8571428806,22724074.060240433,17.897525259779517,4107650.0,,4009024.2607874703,4263204.300701472,735262.8664483048,,,-847550.0,0.7936654778279552,-0.24369971554829917,-0.14336457566481098,-0.10033513988348819,False,False,,,,,
